,symbol,ind,trade,buyPrice,qty,buyTime,sellPrice,sellTime,profit,profit_ps,status,buy_dt,sell_dt
c5337413,ETHEUR,rand,long,3505.33,0.014262123735281346,1634746772.410174,3505.33,1634746773.4564693,0.0,0.0,closed--1-n,211020-181932,211020-181933
c29f32f9,LTCEUR,rand,long,174.7,0.28571363040776326,1634746772.6711273,174.7,1634746772.7106378,0.0,0.0,closed--1-n,211020-181932,211020-181932
e02ff587,ETHUSDT,rand,long,4090.0,0.012223686521291955,1634746772.9315372,4090.0,1634746775.0204763,0.0,0.0,closed--1-n,211020-181932,211020-181935
93bc94a7,ETHEUR,rand,long,3505.33,0.014262123735281346,1634746773.517469,3505.33,1634746775.6001236,0.0,0.0,closed--1-n,211020-181933,211020-181935
67e71566,LTCEUR,rand,long,174.7,0.28571363040776326,1634746774.7697759,174.7,1634746775.8391285,0.0,0.0,closed--1-n,211020-181934,211020-181935
2e55e1ea,ETHUSDT,rand,long,4090.0,0.012223686521291955,1634746775.0798292,4090.0,1634746775.1251495,0.0,0.0,closed--1-n,211020-181935,211020-181935
a857a0d8,ETHEUR,rand,long,3505.33,0.014262123735281346,1634746775.644301,3506.34,1634746777.7235289,0.014404744972637273,0.0069,closed--1-n,211020-181935,211020-181937
583afe3b,LTCEUR,rand,long,174.7,0.28571363040776326,1634746775.884699,174.7,1634746777.9644704,0.0,0.0,closed--1-n,211020-181935,211020-181937
1eaae838,ETHUSDT,rand,long,4090.0,0.012223686521291955,1634746776.189151,4091.32,1634746779.2815695,0.01613526620810738,0.0052,closed--1-n,211020-181936,211020-181939
83b31fe3,BTCUSDT,rand,long,66617.65,0.0007505202992628969,1634746776.3744328,66635.44,1634746777.4853537,0.013351756123893051,0.012,closed--1-n,211020-181936,211020-181937
a2bbd056,BTCEUR,rand,long,57100.0,0.0008752833891001587,1634746776.475029,57102.88,1634746777.5426695,0.0025208161606061646,0.0024,closed--1-n,211020-181936,211020-181937
93b0bef4,BTCEUR,rand,long,57117.02,0.0008750667022505669,1634746778.5949402,57133.85,1634746889.2737,0.014727372598878569,0.0001,closed--1-n,211020-181938,211020-182129
da14145e,ETHEUR,rand,long,3506.87,0.014257728401680131,1634746778.793847,3506.87,1634746778.8407936,0.0,0.0,closed--1-n,211020-181938,211020-181938
c58bacd6,ETHEUR,rand,long,3506.87,0.014257728401680131,1634746778.8835113,3506.87,1634746778.9247491,0.0,0.0,closed--1-n,211020-181938,211020-181938
5461adfc,LTCEUR,rand,long,174.7,0.28571363040776326,1634746780.0438745,174.7,1634746780.099676,0.0,0.0,closed--1-n,211020-181940,211020-181940
c0d4016b,ETHUSDT,rand,long,4092.5,0.012217470983506415,1634746782.3463788,4092.34,1634746784.4190629,-0.0019547953573592486,-0.0009,closed--1-n,211020-181942,211020-181944
911f00e5,ETHEUR,rand,long,3507.65,0.01425455789488689,1634746783.0167308,3507.65,1634746783.0718582,0.0,0.0,closed--1-n,211020-181943,211020-181943
c0957e3f,ETHEUR,rand,long,3507.65,0.01425455789488689,1634746783.117024,3507.65,1634746783.1701417,0.0,0.0,closed--1-n,211020-181943,211020-181943
3f36370b,LTCEUR,rand,long,174.7,0.28571363040776326,1634746783.1711404,174.7,1634746784.2917747,0.0,0.0,closed--1-n,211020-181943,211020-181944
238dd388,LTCEUR,rand,long,174.7,0.28571363040776326,1634746784.3347836,174.7,1634746786.4139423,0.0,0.0,closed--1-n,211020-181944,211020-181946
6fd32651,ETHUSDT,rand,long,4092.34,0.012217470983506415,1634746784.4647574,4092.34,1634746784.5144005,0.0,0.0,closed--1-n,211020-181944,211020-181944
fa6df191,ETHUSDT,rand,long,4092.34,0.012217470983506415,1634746784.5593455,4092.34,1634746784.611905,0.0,0.0,closed--1-n,211020-181944,211020-181944
b7da9121,ETHEUR,rand,long,3507.73,0.014254232794428305,1634746785.2921286,3507.74,1634746786.365378,0.00014254232794091236,0.0001,closed--1-n,211020-181945,211020-181946
f6c78be8,LTCEUR,rand,long,174.7,0.28571363040776326,1634746787.4765506,174.7,1634746788.5932631,0.0,0.0,closed--1-n,211020-181947,211020-181948
dfb7838c,LTCEUR,rand,long,174.7,0.28571363040776326,1634746790.6552622,174.7,1634746791.755148,0.0,0.0,closed--1-n,211020-181950,211020-181951
