,close,tsv_so_k100,mav_short,mav_medium,ema_short,ema_med,k_line,d_line,so_20,so_80,macd_ema_fast,macd_ema_slow,macd_base,macd_signal,macd_hist,macd_color,bohlinger_upper,bohlinger_lower,ema_switch,so_switch,macd_switch
2021-09-11 16:10:24+02:00,45585.395,0,45587.00546875,45573.5154296875,45586.23261405507,45581.24754767545,85.22839303319093,95.07613101106364,20,80,45576.24701459205,45581.861052537075,5.614037945022574,3.901886851375502,1.7121510936470719,green,45579.57796024713,45567.452899127864,0,0,0
2021-09-11 16:10:26+02:00,45585.4,0,45587.06953125,45574.91640625,45585.95455520339,45581.840536087,76.48599109714586,87.2381280434456,20,80,45576.92489777042,45582.40526560829,5.480367837873928,4.217583048675188,1.26278478919874,green,45582.092066914156,45567.74074558584,0,-1,0
2021-09-11 16:10:28+02:00,45584.33,0,45586.58671875,45576.309375,45585.41241180226,45582.19590806395,69.31133804660907,77.00857405898195,20,80,45577.473284972606,45582.7010901301,5.227805157490366,4.419627470438224,0.808177687052142,green,45584.67150346363,45567.947246536365,0,0,0
2021-09-11 16:10:30+02:00,45583.273,0,45585.46015625,45577.604296875,45584.699420368175,45582.34984163218,62.24142445666405,69.34625120013966,20,80,45577.90292590056,45582.789143571616,4.8862176710536005,4.512945510561299,0.3732721604923013,green,45587.14088654583,45568.067707204165,0,0,0
2021-09-11 16:10:32+02:00,45583.086,0,45584.29609375,45578.88984375,45584.16159274545,45582.454998648274,60.984550929562715,64.17910447761194,20,80,45578.286852685706,45582.83480417598,4.5479514902763185,4.519946706504303,0.02800478377201543,green,45589.54454718142,45568.23514031859,0,0,0
2021-09-11 16:10:34+02:00,45583.01,0,45583.81953125,45580.451171875,45583.77830141364,45582.53453039189,0.0,41.07532512874226,20,80,45578.63684276454,45582.86202180275,4.2251790382069885,4.46099317284484,-0.2358141346378515,red,45592.16051753825,45568.74182621175,0,0,-1
2021-09-11 16:10:36+02:00,45582.977,0,45583.33515625,45581.73125,45583.5110551091,45582.597678040416,0.0,20.32818364318757,20,80,45578.95830348569,45582.87964344848,3.921339962791535,4.35306253083418,-0.43172256804264464,red,45594.34582556456,45569.116674435434,0,0,0
2021-09-11 16:10:38+02:00,45579.29,0,45582.32734375,45582.4390625,45582.10372423941,45582.1250173654,0.0,0.0,20,80,45578.98280415342,45582.327246379486,3.344442226065439,4.151338469880431,-0.8068962438149923,red,45595.71782114241,45569.16030385759,-1,0,0
2021-09-11 16:10:40+02:00,45583.27,0,45582.3265625,45582.8947265625,45582.49232657627,45582.28851973795,41.38911454102356,13.79637151367452,20,80,45579.30033949391,45582.47221328264,3.171873788734956,3.9554455336513366,-0.7835717449163804,red,45596.61315921365,45569.176293911354,1,1,0
2021-09-11 16:10:42+02:00,45583.27,0,45582.36328125,45583.250390625,45582.75139480084,45582.4286645255,41.38911454102356,27.59274302734904,20,80,45579.59435369806,45582.59487758531,3.0005238872472546,3.7644612043705203,-0.7639373171232657,red,45597.19293982513,45569.30784142487,0,0,0
2021-09-11 16:10:44+02:00,45585.59,0,45582.87890625,45583.83046875,45583.697544450566,45582.880262347026,65.51584077985378,49.43135662063363,20,80,45580.038464072284,45583.05564161065,3.0171775383641943,3.6150044711692555,-0.5978269328050612,red,45597.80288325297,45569.85805424703,0,0,0
2021-09-11 16:10:46+02:00,45585.6,0,45583.40390625,45584.4111328125,45584.33221713371,45583.26902009425,65.63769293257515,57.51421608448416,20,80,45580.4505454373,45583.447321747466,2.9967763101667515,3.491358838968755,-0.4945825288020034,red,45598.22312308869,45570.59914253631,0,0,0
2021-09-11 16:10:48+02:00,45585.594,0,45584.66484375,45584.4759765625,45584.752728089145,45583.60112479304,65.55645816409424,65.56999729217439,20,80,45580.83152355305,45583.77754147863,2.946017925576598,3.3822906562903237,-0.43627273071372574,red,45597.94909062036,45571.00286250464,0,0,0
2021-09-11 16:10:50+02:00,45585.6,0,45585.13125,45584.592578125,45585.03567289276,45583.88690192292,100.0,77.06471703222313,20,80,45581.18485977135,45584.0581600973,2.873300325954915,3.280492590223242,-0.407192264268327,red,45597.5554771532,45571.6296790968,0,0,0
2021-09-11 16:10:52+02:00,45584.195,0,45585.31640625,45584.6390625,45584.75555276184,45583.93096061835,77.72277227722772,81.09307681377398,20,80,45581.40785626976,45584.07926046695,2.671404197186348,3.1586749116158637,-0.48727071442951564,red,45596.93085231898,45572.347272681014,0,-1,0
2021-09-11 16:10:54+02:00,45583.008,0,45584.8,45584.6259765625,45584.17297267456,45583.799082209065,58.91089108910891,78.87788778877888,20,80,45581.526371546075,45583.914422318194,2.3880507721187314,3.0045500837164374,-0.616499311597706,red,45596.09798481189,45573.15396831311,0,0,0
2021-09-11 16:10:56+02:00,45579.688,0,45583.6171875,45584.3564453125,45582.67781511638,45583.21171291486,6.311881188118812,47.648514851485146,20,80,45581.390158838956,45583.264126576934,1.8739677379780915,2.778433614568768,-0.9044658765906766,red,45594.838307802216,45573.874582822784,-1,0,0
2021-09-11 16:10:58+02:00,45579.99,0,45582.49609375,45584.01875,45581.78130382759,45582.75122240339,11.076732673267326,25.433168316831683,20,80,45581.28631605459,45582.76015037279,1.4738343182034441,2.5175137552957034,-1.0436794370922593,red,45593.3840165081,45574.65348349191,0,0,0
2021-09-11 16:11:00+02:00,45578.86,0,45581.14765625,45583.51640625,45580.80732755173,45582.195243919734,0.0,5.796204620462046,20,80,45581.10654264314,45582.16003108467,1.0534884415319539,2.2247086925429533,-1.1712202510109995,red,45591.71053226643,45575.322280233566,0,0,0
2021-09-11 16:11:02+02:00,45579.984,0,45580.30546875,45583.0703125,45580.533010034495,45581.87940536474,16.685979142526072,9.254237271931133,20,80,45581.02341911402,45581.82531476395,0.8018956499290653,1.9401460840201759,-1.1382504340911106,red,45590.11056021398,45576.03006478602,0,1,0
2021-09-11 16:11:04+02:00,45577.55,0,45579.2140625,45582.678125,45579.538933773,45581.26103025981,0.0,5.5619930475086905,20,80,45580.76618667965,45581.16769422334,0.4015075436909683,1.6324183759543345,-1.2309108322633662,red,45588.5831326596,45576.773117340395,0,0,0
2021-09-11 16:11:06+02:00,45577.55,0,45578.78671875,45582.2857421875,45578.87621626534,45580.730994516976,0.0,5.5619930475086905,20,80,45580.52800849967,45580.6112460736,0.08323757392645348,1.3225822155487583,-1.2393446416223048,red,45587.11604728662,45577.455437088385,0,0,0
2021-09-11 16:11:08+02:00,45577.55,0,45578.29921875,45581.946875,45578.434404593565,45580.27667821108,0.0,0.0,20,80,45580.30747314784,45580.140405331505,-0.16706781633547507,1.0246522091719117,-1.1917200255073868,red,45585.8179345551,45578.0758154449,0,0,0
