,close,tsv_so_k100,mav_short,mav_medium,ema_short,ema_med,ema_long,ema_switch
2021-10-20 18:17:35+02:00,57114.35,0,57119.996875,57126.235546875,57117.96769499455,57121.34037327442,57137.080166898326,0
2021-10-20 18:17:36+02:00,57117.86,0,57118.50859375,57124.960546875,57117.931588329695,57120.84308561452,57136.600457300345,0
2021-10-20 18:17:37+02:00,57117.86,0,57117.46875,57123.7125,57117.9075172198,57120.41683963048,57136.13502775033,0
2021-10-20 18:17:38+02:00,57111.27,0,57115.13828125,57121.92890625,57115.69485522987,57119.11007705827,57135.520471291435,0
2021-10-20 18:17:39+02:00,57111.27,0,57114.521875,57120.026953125,57114.21974723658,57117.98999597634,57134.92391662891,0
2021-10-20 18:17:40+02:00,57111.27,0,57113.90546875,57118.125,57113.23634190773,57117.029927302465,57134.34470070918,0
2021-10-20 18:17:41+02:00,57111.27,0,57112.5875,57116.4619140625,57112.58073835516,57116.207011902356,57133.78219159297,0
2021-10-20 18:17:42+02:00,57111.27,0,57111.26953125,57116.369921875,57112.14366932011,57115.501656290384,57133.23578665033,0
2021-10-20 18:17:43+02:00,57132.15,0,57115.4453125,57117.321875,57118.81192538008,57117.87977145514,57133.20950782825,1
2021-10-20 18:17:44+02:00,57132.15,0,57119.62109375,57118.273828125,57123.25742942005,57119.918154936684,57133.1839705411,0
2021-10-20 18:17:45+02:00,57137.28,0,57124.8234375,57119.482421875,57127.93203628003,57122.39859981923,57133.2821822518,0
2021-10-20 18:17:46+02:00,57125.65,0,57127.69921875,57120.34375,57127.17083668668,57122.86286278313,57133.09992509275,0
2021-10-20 18:17:47+02:00,57125.65,0,57130.575,57120.56875,57126.66337029112,57123.26080235025,57132.92270611768,0
2021-10-20 18:17:48+02:00,57136.39,0,57131.4234375,57121.1978515625,57129.905788527416,57125.13649260055,57133.00487290711,0
2021-10-20 18:17:49+02:00,57133.51,0,57131.69609375,57121.6083984375,57131.10776526828,57126.33295419001,57133.01683761797,0
2021-10-20 18:17:50+02:00,57125.84,0,57129.4078125,57122.0333984375,57129.351791428846,57126.26250980556,57132.848024748135,0
2021-10-20 18:17:51+02:00,57116.4,0,57127.5578125,57121.58828125,57125.03400678589,57124.853356003856,57132.462465300705,0
2021-10-20 18:17:52+02:00,57117.88,0,57126.00390625,57121.329296875,57122.64897327393,57123.857005666185,57132.12181485934,-1
2021-10-20 18:17:53+02:00,57117.88,0,57122.3015625,57121.0771484375,57121.05895093262,57123.002991189955,57131.79023512922,0
2021-10-20 18:17:54+02:00,57117.91,0,57119.18125,57121.255078125,57120.00935270507,57122.27544314137,57131.46815871753,0
2021-10-20 18:17:55+02:00,57125.66,0,57119.1453125,57121.8205078125,57121.89295388671,57122.758973699405,57131.333819001346,0
2021-10-20 18:17:56+02:00,57125.66,0,57120.99765625,57122.210546875,57123.14868800781,57123.173428433205,57131.202996066844,0
2021-10-20 18:17:57+02:00,57125.66,0,57122.55390625,57122.6005859375,57123.985844088544,57123.52867532568,57131.07557927077,1
2021-10-20 18:17:58+02:00,57125.66,0,57124.11015625,57123.3201171875,57124.54394814236,57123.83317264577,57130.951462302495,0
2021-10-20 18:17:59+02:00,57122.74,0,57125.07578125,57123.8935546875,57123.94205917823,57123.67675956933,57130.7637709609,0
2021-10-20 18:18:00+02:00,57117.04,0,57123.3515625,57124.18203125,57121.64106028548,57122.72851702747,57130.45101980142,-1
2021-10-20 18:18:01+02:00,57112.95,0,57120.809375,57124.266015625,57118.74377977365,57121.33147428584,57130.05330692541,0
2021-10-20 18:18:02+02:00,57112.95,0,57118.2671875,57124.35,57116.81225943243,57120.134009113375,57129.665687639186,0
2021-10-20 18:18:03+02:00,57112.95,0,57115.725,57123.3900390625,57115.524579204946,57119.10761041956,57129.2878586502,0
