,open,high,low,close,bid,ask
2021-09-11 15:15:22+02:00,45931.49,46232.47,44132.29,45530.977,45530.97,45530.98
2021-09-11 15:15:24+02:00,45923.703,46232.47,44132.29,45530.98,45530.97,45530.98
2021-09-11 15:15:26+02:00,45911.71,46232.47,44132.29,45530.98,45530.984,45530.996
2021-09-11 15:15:28+02:00,45909.688,46232.47,44132.29,45532.453,45532.453,45532.465
2021-09-11 15:15:30+02:00,45912.188,46232.47,44132.29,45533.906,45533.906,45533.914
2021-09-11 15:15:32+02:00,45912.17,46232.47,44132.29,45534.55,45534.55,45534.56
2021-09-11 15:15:34+02:00,45912.164,46232.47,44132.29,45534.227,45532.758,45532.77
2021-09-11 15:15:36+02:00,45912.16,46232.47,44132.29,45530.14,45530.14,45530.15
2021-09-11 15:15:38+02:00,45912.17,46232.47,44132.29,45530.145,45530.14,45530.15
2021-09-11 15:15:40+02:00,45912.14,46232.47,44132.29,45527.86,45527.83,45527.84
2021-09-11 15:15:42+02:00,45903.664,46232.47,44132.29,45528.574,45527.812,45527.824
2021-09-11 15:15:44+02:00,45891.07,46232.47,44132.29,45527.83,45527.82,45527.83
2021-09-11 15:15:46+02:00,45880.883,46232.47,44132.29,45526.906,45526.906,45526.914
2021-09-11 15:15:48+02:00,45869.344,46232.47,44132.29,45526.0,45525.99,45526.0
2021-09-11 15:15:50+02:00,45870.844,46232.47,44132.29,45525.992,45525.99,45526.0
2021-09-11 15:15:52+02:00,45873.965,46232.47,44132.29,45523.01,45523.01,45523.02
2021-09-11 15:15:54+02:00,45871.785,46232.47,44132.29,45523.016,45523.01,45523.02
2021-09-11 15:15:56+02:00,45867.645,46232.47,44132.29,45523.02,45523.01,45523.02
2021-09-11 15:15:58+02:00,45866.32,46232.47,44132.29,45523.016,45523.01,45523.02
2021-09-11 15:16:00+02:00,45859.89,46232.47,44132.29,45523.574,45523.57,45523.58
2021-09-11 15:16:02+02:00,45862.9,46232.47,44132.29,45524.133,45524.13,45524.14
2021-09-11 15:16:04+02:00,45861.742,46232.47,44132.29,45523.01,45523.01,45523.02
2021-09-11 15:16:06+02:00,45856.47,46232.47,44132.29,45522.156,45522.15,45522.16
2021-09-11 15:16:08+02:00,45854.64,46232.47,44132.29,45520.98,45521.105,45521.92
